code_annee,code_postal,code_delits,code_indicateur,nb_delits
8,75010,5,995,7
8,75011,5,996,4
8,75012,5,997,8
8,75013,5,998,4
8,75014,5,999,1
8,75015,5,1000,5
8,75016,5,1001,6
8,75017,5,1002,3
8,75018,5,1003,11
8,75019,5,1004,14
8,75020,5,1005,10
8,75001,5,1006,2
8,75002,6,1007,0
8,75003,6,1008,0
8,75004,6,1009,0
8,75005,6,1010,0
8,75007,6,1011,0
8,75008,6,1012,0
8,75009,6,1013,0
8,75010,6,1014,0
8,75011,6,1015,0
8,75012,6,1016,1
8,75013,6,1017,0
8,75014,6,1018,0
8,75015,6,1019,0
8,75016,6,1020,0
8,75017,6,1021,0
8,75018,6,1022,1
8,75019,6,1023,1
8,75020,6,1024,1
8,75001,6,1025,0
8,75002,7,1026,157
8,75003,7,1027,187
8,75004,7,1028,207
8,75005,7,1029,513
8,75007,7,1030,177
8,75008,7,1031,389
8,75009,7,1032,352
8,75010,7,1033,580
8,75011,7,1034,605
8,75012,7,1035,680
8,75013,7,1036,811
8,75014,7,1037,556
8,75015,7,1038,904
8,75016,7,1039,742
8,75017,7,1040,705
8,75018,7,1041,1017
8,75019,7,1042,996
8,75020,7,1043,1359
8,75001,7,1044,443
8,75002,8,1045,0
8,75003,8,1046,0
8,75004,8,1047,0
8,75005,8,1048,0
8,75007,8,1049,1
8,75008,8,1050,2
8,75009,8,1051,0
8,75010,8,1052,0
8,75011,8,1053,0
8,75012,8,1054,0
8,75013,8,1055,0
8,75014,8,1056,0
8,75015,8,1057,1
8,75016,8,1058,1
8,75017,8,1059,1
8,75018,8,1060,0
8,75019,8,1061,0
8,75020,8,1062,0
8,75001,8,1063,0
8,75002,10,1064,2
8,75003,10,1065,2
8,75004,10,1066,2
8,75005,10,1067,3
8,75007,10,1068,4
8,75008,10,1069,7
8,75009,10,1070,6
8,75010,10,1071,12
8,75011,10,1072,3
8,75012,10,1073,8
8,75013,10,1074,8
8,75014,10,1075,5
8,75015,10,1076,14
8,75016,10,1077,15
8,75017,10,1078,4
8,75018,10,1079,27
8,75019,10,1080,15
8,75020,10,1081,20
8,75001,10,1082,5
8,75002,11,1083,23
